,taxon_oid,file_name,file_id_list
7,3300020717,Table_8_-_3300020717.taxonomic_composition.txt,59c4ca857ded5e2f1868c0ba
38,3300020718,Table_8_-_3300020718.taxonomic_composition.txt,59c4cddf7ded5e2f1868c0cd
34,3300020719,Table_8_-_3300020719.taxonomic_composition.txt,59c4d1897ded5e2f1868c0e6
32,3300020720,Table_8_-_3300020720.taxonomic_composition.txt,59c4d4fa7ded5e2f1868c103
34,3300020721,Table_8_-_3300020721.taxonomic_composition.txt,59c4d8777ded5e2f1868c116
14,3300020722,Table_8_-_3300020722.taxonomic_composition.txt,59c4dbfa7ded5e2f1868c12b
23,3300020723,Table_8_-_3300020723.taxonomic_composition.txt,59c4df717ded5e2f1868c142
19,3300020724,Table_8_-_3300020724.taxonomic_composition.txt,59c4e3237ded5e2f1868c158
36,3300020725,Table_8_-_3300020725.taxonomic_composition.txt,59c4e6857ded5e2f1868c16c
16,3300020726,Table_8_-_3300020726.taxonomic_composition.txt,59c4ea2b7ded5e2f1868c17f
35,3300020727,Table_8_-_3300020727.taxonomic_composition.txt,59c4ed717ded5e2f1868c196
12,3300020728,Table_8_-_3300020728.taxonomic_composition.txt,59c4f1287ded5e2f1868c1b0
16,3300020729,Table_8_-_3300020729.taxonomic_composition.txt,59c4f4867ded5e2f1868c1c3
34,3300020730,Table_8_-_3300020730.taxonomic_composition.txt,59c4f8537ded5e2f1868c1d6
26,3300020731,Table_8_-_3300020731.taxonomic_composition.txt,59c4fbc17ded5e2f1868c1ef
12,3300020732,Table_8_-_3300020732.taxonomic_composition.txt,59c4ff1c7ded5e2f1868c207
9,3300020733,Table_8_-_3300020733.taxonomic_composition.txt,59c50a5b7ded5e2f1868c21f
12,3300020734,Table_8_-_3300020734.taxonomic_composition.txt,59c50db47ded5e2f1868c235
12,3300020810,Table_8_-_3300020810.taxonomic_composition.txt,59c5d31e7ded5e2f1868d941
8,3300021051,Table_8_-_3300021051.taxonomic_composition.txt,59d322ab7ded5e58f983a4bc
32,3300021055,Table_8_-_3300021055.taxonomic_composition.txt,59d32e917ded5e58f983a57a
2,3300021063,Table_8_-_3300021063.taxonomic_composition.txt,59d341bc7ded5e58f983a6d0
5,3300021064,Table_8_-_3300021064.taxonomic_composition.txt,59d3461a7ded5e58f983a6f9
14,3300021065,Table_8_-_3300021065.taxonomic_composition.txt,59d347ed7ded5e58f983a70c
37,3300021068,Table_8_-_3300021068.taxonomic_composition.txt,59d368c77ded5e58f983a9ad
33,3300021069,Table_8_-_3300021069.taxonomic_composition.txt,59d369277ded5e58f983a9c0
35,3300021070,Table_8_-_3300021070.taxonomic_composition.txt,59d36a1a7ded5e58f983aa00
23,3300021071,Table_8_-_3300021071.taxonomic_composition.txt,59d3785f7ded5e58f983aaaf
17,3300021072,Table_8_-_3300021072.taxonomic_composition.txt,59d378937ded5e58f983aac4
39,3300021073,Table_8_-_3300021073.taxonomic_composition.txt,59d378aa7ded5e58f983aad7
19,3300021074,Table_8_-_3300021074.taxonomic_composition.txt,59d387827ded5e58f983ab46
40,3300021075,Table_8_-_3300021075.taxonomic_composition.txt,59d3872d7ded5e58f983ab33
6,3300021078,Table_8_-_3300021078.taxonomic_composition.txt,59d395137ded5e58f983ad56
56,3300021079,Table_8_-_3300021079.taxonomic_composition.txt,59d3a1177ded5e58f983ae37
10,3300021080,Table_8_-_3300021080.taxonomic_composition.txt,59d3a53e7ded5e58f983ae88
16,3300021081,Table_8_-_3300021081.taxonomic_composition.txt,59d3a5dc7ded5e58f983ae9d
23,3300021082,Table_8_-_3300021082.taxonomic_composition.txt,59d3b1ab7ded5e58f983af2c
7,3300021084,Table_8_-_3300021084.taxonomic_composition.txt,59d3b37e7ded5e58f983af76
41,3300021085,Table_8_-_3300021085.taxonomic_composition.txt,59d3bdc97ded5e58f983afd1
15,3300021086,Table_8_-_3300021086.taxonomic_composition.txt,59d3d5557ded5e58f983b126
23,3300021087,Table_8_-_3300021087.taxonomic_composition.txt,59d3d1d47ded5e58f983b111
3,3300021088,Table_8_-_3300021088.taxonomic_composition.txt,59d3e28e7ded5e58f983b238
36,3300021089,Table_8_-_3300021089.taxonomic_composition.txt,59d3f0d47ded5e58f983b2b8
4,3300021090,Table_8_-_3300021090.taxonomic_composition.txt,59d3fb6b7ded5e58f983b2fa
56,3300021108,Table_8_-_3300021108.taxonomic_composition.txt,59d55b8c7ded5e58f983ca08
13,3300021118,Table_8_-_3300021118.taxonomic_composition.txt,59d568b07ded5e58f983cad3
20,3300021119,Table_8_-_3300021119.taxonomic_composition.txt,59d56b447ded5e58f983cb0b
70,3300021120,Table_8_-_3300035007.taxonomic_composition.txt,5d20540fee2d26b76f0448b7
27,3300021122,Table_8_-_3300021122.taxonomic_composition.txt,59d56e877ded5e58f983cb80
40,3300021123,Table_8_-_3300021123.taxonomic_composition.txt,59d56fa87ded5e58f983cb93
